TIPO	LEMMA	ABS_FREQ	FREQ_IN_CXN	LOGL
gruppo1	insuperabile	1159	0	0
basi	superabile	450	0	0
gruppo1	insuperato	208	0	0
basi	superato	1443	0	0
gruppo1	intangibile	313	0	0
basi	tangibile	1477	0	0
gruppo1	intempestivo	487	0	0
basi	tempestivo	2066	0	0
gruppo1	intollerabile	2578	8	27.19126
basi	tollerabile	925	7	35.70596
gruppo1	intollerante	680	0	0
basi	tollerante	1262	0	0
gruppo1	intraducibile	220	0	0
basi	traducibile	176	0	0
gruppo1	intrattabile	266	0	0
basi	trattabile	166	0	0
gruppo1	inusuale	911	0	0
basi	usuale	807	6	30.39844
gruppo1	inutilizzabile	560	0	0
basi	utilizzabile	1122	0	0
gruppo1	invalicabile	891	0	0
basi	valicabile	35	0	0
gruppo1	invalido	874	0	0
basi	valido	12507	0	0
gruppo1	invariabile	62	0	0
basi	variabile	1417	0	0
gruppo1	invariato	4351	0	0
basi	variato	230	0	0
gruppo1	invendibile	143	0	0
basi	vendibile	468	0	0
gruppo1	invenduto	789	0	0
basi	venduto	86	0	0
gruppo1	inverosimile	1469	8	35.7107
basi	verosimile	1795	30	199.87397
gruppo1	invisibile	4882	0	0
basi	visibile	6524	0	0
gruppo1	invivibile	376	0	0
basi	vivibile	491	0	0
gruppo1	involontario	2284	0	0
basi	volontario	526	0	0
gruppo1	involuto	200	0	0
basi	voluto	1409	0	0
gruppo1	invulnerabile	253	0	0
basi	vulnerabile	2003	0	0
gruppo1	irraggiungibile	1260	0	0
basi	raggiungibile	1074	0	0
gruppo1	irragionevole	561	24	205.25794
basi	ragionevole	6255	348	3164.08563
gruppo1	irrazionale	1736	6	21.5997
basi	razionale	3757	7	17.31616
gruppo1	irrealistico	295	44	490.89367
basi	realistico	5098	132	995.12794
gruppo1	irrealizzabile	586	0	0
basi	realizzabile	996	0	0
gruppo1	irrecuperabile	445	0	0
basi	recuperabile	210	0	0
gruppo1	irregolare	3290	0	0
basi	regolare	11886	0	0
gruppo1	irreperibile	611	0	0
basi	reperibile	608	0	0
gruppo1	irresistibile	4206	0	0
basi	resistibile	111	0	0
gruppo1	irrespirabile	360	0	0
basi	respirabile	85	0	0
gruppo1	irreversibile	2961	0	0
basi	reversibile	326	0	0
gruppo1	irrevocabile	924	0	0
basi	revocabile	128	0	0
gruppo1	irriconoscibile	1260	0	0
basi	riconoscibile	1930	0	0
gruppo1	irriducibile	2922	0	0
basi	riducibile	269	0	0
gruppo1	irriferibile	30	0	0
basi	riferibile	315	0	0
gruppo1	irriflessivo	31	0	0
basi	riflessivo	792	0	0
gruppo1	irriguardoso	207	0	0
basi	riguardoso	73	0	0
gruppo1	irrilevante	2127	12	54.38254
basi	rilevante	10976	5	0
gruppo1	irrimediabile	747	0	0
basi	rimediabile	116	0	0
gruppo1	irrintracciabile	56	0	0
basi	rintracciabile	319	0	0
gruppo1	irrinunciabile	2375	0	0
basi	rinunciabile	26	0	0
gruppo1	irripetibile	1958	0	0
basi	ripetibile	364	0	0
gruppo1	irrisolto	2834	0	0
basi	risolto	1388	0	0
gruppo1	irrisolvibile	235	0	0
basi	risolvibile	439	0	0
gruppo1	irrispettoso	384	0	0
basi	rispettoso	2907	0	0
gruppo1	irrituale	132	0	0
basi	rituale	871	0	0
gruppo1	irriverente	1119	0	0
basi	riverente	77	0	0
gruppo2	illecitamente	21	0	0
gruppo2	illibato	87	0	0
gruppo2	imbevibile	27	0	0
gruppo2	immancabile	2462	0	0
gruppo2	immane	1257	0	0
gruppo2	immarcabile	36	0	0
gruppo2	immarcescibile	164	0	0
gruppo2	immateriale	403	0	0
gruppo2	immodificabili	52	0	0
gruppo2	immondo	276	0	0
gruppo2	immoto	109	0	0
gruppo2	immutato	2248	0	0
gruppo2	impagabile	449	0	0
gruppo2	impareggiabile	497	0	0
gruppo2	impassibile	1305	0	0
gruppo2	impeccabile	2718	0	0
gruppo2	impensato	342	0	0
gruppo2	impercorribili	30	0	0
gruppo2	imperdibile	86	0	0
gruppo2	imperdibili	37	0	0
gruppo2	imperituro	147	0	0
gruppo2	imperscrutabile	431	0	0
gruppo2	imperterrito	694	0	0
gruppo2	imperturbabile	686	0	0
gruppo2	implacabile	3183	0	0
gruppo2	implacabilmente	31	0	0
gruppo2	imponderabile	228	0	0
gruppo2	importabile	37	0	0
gruppo2	impossibilitato	54	0	0
gruppo2	impossible	46	5	52.40115
gruppo2	imprecisabile	59	0	0
gruppo2	imprecisata	238	0	0
gruppo2	imprecisate	115	0	0
gruppo2	imprecisato	831	0	0
gruppo2	imprendibile	876	0	0
gruppo2	imprescindibile	615	5	26.20344
gruppo2	imprescrittibile	27	0	0
gruppo2	impresentabili	105	0	0
gruppo2	improbo	248	0	0
gruppo2	improcrastinabile	109	0	0
gruppo2	improcrastinabili	31	0	0
gruppo2	impronto	1607	0	0
gruppo2	impronunciabile	189	0	0
gruppo2	impronunciabili	61	0	0
gruppo2	impropriamente	29	0	0
gruppo2	impudente	236	0	0
gruppo2	impudichi	22	0	0
gruppo2	impugnabile	63	0	0
gruppo2	impunito	1132	0	0
gruppo2	inadempiente	499	0	0
gruppo2	inaffondabile	89	0	0
gruppo2	inaffondabili	23	0	0
gruppo2	inalterabile	95	0	0
gruppo2	inamissibile	25	0	0
gruppo2	inamovibile	541	0	0
gruppo2	inane	70	0	0
gruppo2	inanellato	30	0	0
gruppo2	inappetente	38	0	0
gruppo2	inapplicata	39	0	0
gruppo2	inappuntabile	387	0	0
gruppo2	inarrivabile	468	0	0
gruppo2	inascoltato	752	0	0
gruppo2	inaspettato	2813	0	0
gruppo2	inattingibile	58	0	0
gruppo2	inattuata	28	0	0
gruppo2	inaudito	1697	0	0
gruppo2	inavvertito	70	0	0
gruppo2	incensurato	1036	0	0
gruppo2	incessante	1318	0	0
gruppo2	incessantemente	44	0	0
gruppo2	incoercibile	104	0	0
gruppo2	incolore	455	0	0
gruppo2	incolto	431	0	0
gruppo2	incombusti	43	0	0
gruppo2	incommensurabile	243	0	0
gruppo2	incompreso	565	0	0
gruppo2	incomprimibile	40	0	0
gruppo2	incomprimibili	38	0	0
gruppo2	incomunicabile	106	0	0
gruppo2	inconfessato	283	0	0
gruppo2	incongruente	81	0	0
gruppo2	inconoscibile	121	0	0
gruppo2	inconsapevolmente	57	0	0
gruppo2	inconsolabile	198	0	0
gruppo2	inconsulto	251	0	0
gruppo2	incontaminato	539	0	0
gruppo2	incontentabile	172	0	0
gruppo2	incontrastabile	26	0	0
gruppo2	incredulo	1995	0	0
gruppo2	increscioso	469	0	0
gruppo2	incrollabile	544	0	0
gruppo2	incustodito	247	0	0
gruppo2	indebito	1758	0	0
gruppo2	indeclinabile	33	0	0
gruppo2	indefesso	157	0	0
gruppo2	indefettibile	83	0	0
gruppo2	indeformabile	21	0	0
gruppo2	indelebile	789	0	0
gruppo2	indenne	1846	0	0
gruppo2	indesiderato	908	0	0
gruppo2	indicibili	142	0	0
gruppo2	indigente	216	0	0
gruppo2	indigeribili	30	0	0
gruppo2	indigesto	577	0	0
gruppo2	indignato	822	0	0
gruppo2	indilazionabile	132	0	0
gruppo2	indimenticata	30	0	0
gruppo2	indimenticato	122	0	0
gruppo2	indipendente	18300	0	0
gruppo2	indipensabile	37	5	54.71838
gruppo2	indiscriminatamente	36	0	0
gruppo2	indiscriminato	1639	0	0
gruppo2	indispendabile	23	0	0
gruppo2	indispensabile	16946	1114	10519.96855
gruppo2	indisponibili	276	0	0
gruppo2	indissociabile	21	0	0
gruppo2	indissolubile	381	0	0
gruppo2	indissolubilmente	31	0	0
gruppo2	indistinguibili	85	0	0
gruppo2	indistricabile	24	0	0
gruppo2	indistruttibile	402	0	0
gruppo2	indisturbato	1471	0	0
gruppo2	indolore	1662	0	0
gruppo2	indomabile	448	0	0
gruppo2	indomito	514	0	0
gruppo2	ineccepibile	1484	0	0
gruppo2	ineffabile	1037	0	0
gruppo2	ineguagliabile	314	0	0
gruppo2	ineguagliata	33	0	0
gruppo2	ineguagliato	37	0	0
gruppo2	ineleggibile	65	0	0
gruppo2	ineliminabili	49	0	0
gruppo2	ineludibili	120	0	0
gruppo2	ineluttabile	1191	0	0
gruppo2	ineluttabilmente	26	0	0
gruppo2	inemendabile	21	0	0
gruppo2	inenarrabile	211	0	0
gruppo2	inequivoca	60	0	0
gruppo2	inequivocabile	2709	0	0
gruppo2	inequivocabilmente	42	0	0
gruppo2	inequivoci	23	0	0
gruppo2	inerme	1075	0	0
gruppo2	inesauribile	1569	0	0
gruppo2	inescusabile	26	0	0
gruppo2	inesorabile	1695	0	0
gruppo2	inesplicabile	205	0	0
gruppo2	inesplorato	646	0	0
gruppo2	inesprimibile	106	0	0
gruppo2	inespugnabile	251	0	0
gruppo2	inessenziali	29	0	0
gruppo2	inestimabile	550	0	0
gruppo2	inestinguibile	175	0	0
gruppo2	inestirpabile	96	0	0
gruppo2	inestricabile	628	0	0
gruppo2	infame	1529	0	0
gruppo2	infaticabile	935	0	0
gruppo2	infausto	754	0	0
gruppo2	infermo	148	0	0
gruppo2	infertili	21	0	0
gruppo2	infingardo	64	0	0
gruppo2	informe	634	0	0
gruppo2	infrangibile	106	0	0
gruppo2	infranto	571	0	0
gruppo2	infrequentabile	37	0	0
gruppo2	infrequenti	43	0	0
gruppo2	ingestibili	37	0	0
gruppo2	ingiocabile	26	0	0
gruppo2	ingiudicabile	24	0	0
gruppo2	ingovernabili	115	0	0
gruppo2	ingrigito	21	0	0
gruppo2	inguardabile	137	0	0
gruppo2	inguardabili	28	0	0
gruppo2	inguidabile	23	0	0
gruppo2	inibito	58	0	0
gruppo2	iniettabile	28	0	0
gruppo2	inimitabile	731	0	0
gruppo2	inimmaginabile	1116	13	77.30937
gruppo2	ininfluente	886	0	0
gruppo2	inintelligibile	26	0	0
gruppo2	ininterrotto	2374	0	0
gruppo2	iniquo	1120	10	54.23971
gruppo2	innato	755	0	0
gruppo2	innegabile	1772	0	0
gruppo2	innocuo	2109	0	0
gruppo2	innominabile	200	0	0
gruppo2	innominato	183	0	0
gruppo2	inodoro	80	0	0
gruppo2	inopinato	294	0	0
gruppo2	inoppugnabile	441	0	0
gruppo2	inoptato	21	0	0
gruppo2	inosservato	1635	0	0
gruppo2	inossidabile	888	0	0
gruppo2	inquietante	9861	20	52.48211
gruppo2	insalubre	56	0	0
gruppo2	insapore	54	0	0
gruppo2	insaporo	22	0	0
gruppo2	insaziabile	608	0	0
gruppo2	inservibile	317	0	0
gruppo2	insipido	247	0	0
gruppo2	insipiente	66	0	0
gruppo2	insolente	334	0	0
gruppo2	insoluto	712	0	0
gruppo2	insolvente	306	0	0
gruppo2	insolvibile	37	0	0
gruppo2	insondabile	308	0	0
gruppo2	insonne	878	0	0
gruppo2	insopprimibile	385	0	0
gruppo2	insormontabile	1082	0	0
gruppo2	insorto	253	0	0
gruppo2	insospettata	108	0	0
gruppo2	insospettate	51	0	0
gruppo2	insospettato	88	0	0
gruppo2	insperato	1226	0	0
gruppo2	instancabile	1403	0	0
gruppo2	insufficente	24	0	0
gruppo2	insussistente	58	0	0
gruppo2	intemerato	87	0	0
gruppo2	intemperante	115	0	0
gruppo2	intentato	144	0	0
gruppo2	intercambiabile	402	0	0
gruppo2	interessato	13224	0	0
gruppo2	inteso	1218	0	0
gruppo2	intoccabile	1717	0	0
gruppo2	intonso	74	0	0
gruppo2	intramontabile	588	0	0
gruppo2	intransigente	2171	0	0
gruppo2	intransitabile	28	0	0
gruppo2	intrasportabile	43	0	0
gruppo2	intrepido	484	0	0
gruppo2	introvabile	1252	0	0
gruppo2	inumana	101	0	0
gruppo2	inusitato	654	0	0
gruppo2	inusuali	216	0	0
gruppo2	inutilizzato	261	0	0
gruppo2	invariabilmente	27	0	0
gruppo2	invariante	29	0	0
gruppo2	inverso	1467	0	0
gruppo2	invertebrato	59	0	0
gruppo2	inveterato	223	0	0
gruppo2	invincibile	1168	0	0
gruppo2	inviolabile	510	0	0
gruppo2	inviolato	155	0	0
gruppo2	invitto	49	0	0
gruppo2	irragiungibile	40	0	0
gruppo2	irrappresentabile	48	0	0
gruppo2	irrealistica	260	0	0
gruppo2	irrealistiche	89	0	0
gruppo2	irrealistici	69	0	0
gruppo2	irrealizzato	46	0	0
gruppo2	irredentista	94	0	0
gruppo2	irredento	37	0	0
gruppo2	irredimibile	49	0	0
gruppo2	irrefrenabile	865	0	0
gruppo2	irrefutabile	109	0	0
gruppo2	irrelato	35	0	0
gruppo2	irremovibile	726	0	0
gruppo2	irreparabile	1305	0	0
gruppo2	irrepetibile	33	0	0
gruppo2	irreprensibile	532	0	0
gruppo2	irrequieto	1082	0	0
gruppo2	irresistibilmente	34	0	0
gruppo2	irresolubile	72	0	0
gruppo2	irresoluto	55	0	0
gruppo2	irresolvibile	25	0	0
gruppo2	irricevibile	87	0	0
gruppo2	irricevibili	40	0	0
gruppo2	irriferibili	54	0	0
gruppo2	irriformabile	33	0	0
gruppo2	irrintracciabili	21	0	0
gruppo2	irriproducibile	38	0	0
gruppo2	irrisolvibili	74	0	0
gruppo2	irritatissimo	48	0	0
gruppo2	irrituali	42	0	0
gruppo2	immediato	28075	0	0
gruppo2	inedito	12276	0	0
gruppo2	inevitabile	16904	385	2804.41557
gruppo3	iniziatica	90	0	0
